teilnehmer_id,gruppe,alter,geschlecht,ohrenkrankheiten,ohrenkrankheiten_welche,arbeitsplatz_laut,bueromaschinen,haushaltsgeraete,baumaschinen,noise_cancelling,anstrengung,schwierige_aufgaben,brummen_einfluss,brummen_hinsicht,gefuehl_langsamer,gefuehl_fehler,lautstaerke,bewusst_wahrgenommen,strategie,block,trial_in_block,trial_global,suchtyp,audio,zeit_ms,richtig
SHGK-TUPX,B,37,Männlich,Nein,,5,5,3,1,2,Eher anstregend,Gleich schwer,Gar nicht,Gar nicht,Nein,Ja,Angenehem,Gelegentlich,Ich habe systematisch gesucht,3,1,21,attentiv,ohne_netzbrummen,1710,1
SHGK-TUPX,B,37,Männlich,Nein,,5,5,3,1,2,Eher anstregend,Gleich schwer,Gar nicht,Gar nicht,Nein,Ja,Angenehem,Gelegentlich,Ich habe systematisch gesucht,3,2,22,attentiv,ohne_netzbrummen,1297,1
SHGK-TUPX,B,37,Männlich,Nein,,5,5,3,1,2,Eher anstregend,Gleich schwer,Gar nicht,Gar nicht,Nein,Ja,Angenehem,Gelegentlich,Ich habe systematisch gesucht,3,3,23,attentiv,ohne_netzbrummen,1856,0
SHGK-TUPX,B,37,Männlich,Nein,,5,5,3,1,2,Eher anstregend,Gleich schwer,Gar nicht,Gar nicht,Nein,Ja,Angenehem,Gelegentlich,Ich habe systematisch gesucht,3,4,24,attentiv,ohne_netzbrummen,1766,1
SHGK-TUPX,B,37,Männlich,Nein,,5,5,3,1,2,Eher anstregend,Gleich schwer,Gar nicht,Gar nicht,Nein,Ja,Angenehem,Gelegentlich,Ich habe systematisch gesucht,3,5,25,attentiv,ohne_netzbrummen,1375,1
SHGK-TUPX,B,37,Männlich,Nein,,5,5,3,1,2,Eher anstregend,Gleich schwer,Gar nicht,Gar nicht,Nein,Ja,Angenehem,Gelegentlich,Ich habe systematisch gesucht,3,6,26,attentiv,ohne_netzbrummen,794,1
SHGK-TUPX,B,37,Männlich,Nein,,5,5,3,1,2,Eher anstregend,Gleich schwer,Gar nicht,Gar nicht,Nein,Ja,Angenehem,Gelegentlich,Ich habe systematisch gesucht,3,7,27,attentiv,ohne_netzbrummen,2156,1
SHGK-TUPX,B,37,Männlich,Nein,,5,5,3,1,2,Eher anstregend,Gleich schwer,Gar nicht,Gar nicht,Nein,Ja,Angenehem,Gelegentlich,Ich habe systematisch gesucht,3,8,28,attentiv,ohne_netzbrummen,971,1
SHGK-TUPX,B,37,Männlich,Nein,,5,5,3,1,2,Eher anstregend,Gleich schwer,Gar nicht,Gar nicht,Nein,Ja,Angenehem,Gelegentlich,Ich habe systematisch gesucht,3,9,29,attentiv,ohne_netzbrummen,783,1
SHGK-TUPX,B,37,Männlich,Nein,,5,5,3,1,2,Eher anstregend,Gleich schwer,Gar nicht,Gar nicht,Nein,Ja,Angenehem,Gelegentlich,Ich habe systematisch gesucht,3,10,30,attentiv,ohne_netzbrummen,1163,1
SHGK-TUPX,B,37,Männlich,Nein,,5,5,3,1,2,Eher anstregend,Gleich schwer,Gar nicht,Gar nicht,Nein,Ja,Angenehem,Gelegentlich,Ich habe systematisch gesucht,4,1,31,attentiv,mit_netzbrummen,1237,1
SHGK-TUPX,B,37,Männlich,Nein,,5,5,3,1,2,Eher anstregend,Gleich schwer,Gar nicht,Gar nicht,Nein,Ja,Angenehem,Gelegentlich,Ich habe systematisch gesucht,4,2,32,attentiv,mit_netzbrummen,1124,1
SHGK-TUPX,B,37,Männlich,Nein,,5,5,3,1,2,Eher anstregend,Gleich schwer,Gar nicht,Gar nicht,Nein,Ja,Angenehem,Gelegentlich,Ich habe systematisch gesucht,4,3,33,attentiv,mit_netzbrummen,1603,1
SHGK-TUPX,B,37,Männlich,Nein,,5,5,3,1,2,Eher anstregend,Gleich schwer,Gar nicht,Gar nicht,Nein,Ja,Angenehem,Gelegentlich,Ich habe systematisch gesucht,4,4,34,attentiv,mit_netzbrummen,1157,1
SHGK-TUPX,B,37,Männlich,Nein,,5,5,3,1,2,Eher anstregend,Gleich schwer,Gar nicht,Gar nicht,Nein,Ja,Angenehem,Gelegentlich,Ich habe systematisch gesucht,4,5,35,attentiv,mit_netzbrummen,961,1
SHGK-TUPX,B,37,Männlich,Nein,,5,5,3,1,2,Eher anstregend,Gleich schwer,Gar nicht,Gar nicht,Nein,Ja,Angenehem,Gelegentlich,Ich habe systematisch gesucht,4,6,36,attentiv,mit_netzbrummen,1653,1
SHGK-TUPX,B,37,Männlich,Nein,,5,5,3,1,2,Eher anstregend,Gleich schwer,Gar nicht,Gar nicht,Nein,Ja,Angenehem,Gelegentlich,Ich habe systematisch gesucht,4,7,37,attentiv,mit_netzbrummen,1257,1
SHGK-TUPX,B,37,Männlich,Nein,,5,5,3,1,2,Eher anstregend,Gleich schwer,Gar nicht,Gar nicht,Nein,Ja,Angenehem,Gelegentlich,Ich habe systematisch gesucht,4,8,38,attentiv,mit_netzbrummen,1174,1
SHGK-TUPX,B,37,Männlich,Nein,,5,5,3,1,2,Eher anstregend,Gleich schwer,Gar nicht,Gar nicht,Nein,Ja,Angenehem,Gelegentlich,Ich habe systematisch gesucht,4,9,39,attentiv,mit_netzbrummen,1455,0
SHGK-TUPX,B,37,Männlich,Nein,,5,5,3,1,2,Eher anstregend,Gleich schwer,Gar nicht,Gar nicht,Nein,Ja,Angenehem,Gelegentlich,Ich habe systematisch gesucht,4,10,40,attentiv,mit_netzbrummen,4946,1
SHGK-TUPX,B,37,Männlich,Nein,,5,5,3,1,2,Eher anstregend,Gleich schwer,Gar nicht,Gar nicht,Nein,Ja,Angenehem,Gelegentlich,Ich habe systematisch gesucht,5,1,41,praeattentiv,ohne_netzbrummen,510,1
SHGK-TUPX,B,37,Männlich,Nein,,5,5,3,1,2,Eher anstregend,Gleich schwer,Gar nicht,Gar nicht,Nein,Ja,Angenehem,Gelegentlich,Ich habe systematisch gesucht,5,2,42,praeattentiv,ohne_netzbrummen,362,1
SHGK-TUPX,B,37,Männlich,Nein,,5,5,3,1,2,Eher anstregend,Gleich schwer,Gar nicht,Gar nicht,Nein,Ja,Angenehem,Gelegentlich,Ich habe systematisch gesucht,5,3,43,praeattentiv,ohne_netzbrummen,433,1
SHGK-TUPX,B,37,Männlich,Nein,,5,5,3,1,2,Eher anstregend,Gleich schwer,Gar nicht,Gar nicht,Nein,Ja,Angenehem,Gelegentlich,Ich habe systematisch gesucht,5,4,44,praeattentiv,ohne_netzbrummen,540,1
SHGK-TUPX,B,37,Männlich,Nein,,5,5,3,1,2,Eher anstregend,Gleich schwer,Gar nicht,Gar nicht,Nein,Ja,Angenehem,Gelegentlich,Ich habe systematisch gesucht,5,5,45,praeattentiv,ohne_netzbrummen,510,1
SHGK-TUPX,B,37,Männlich,Nein,,5,5,3,1,2,Eher anstregend,Gleich schwer,Gar nicht,Gar nicht,Nein,Ja,Angenehem,Gelegentlich,Ich habe systematisch gesucht,5,6,46,praeattentiv,ohne_netzbrummen,406,1
SHGK-TUPX,B,37,Männlich,Nein,,5,5,3,1,2,Eher anstregend,Gleich schwer,Gar nicht,Gar nicht,Nein,Ja,Angenehem,Gelegentlich,Ich habe systematisch gesucht,5,7,47,praeattentiv,ohne_netzbrummen,557,1
SHGK-TUPX,B,37,Männlich,Nein,,5,5,3,1,2,Eher anstregend,Gleich schwer,Gar nicht,Gar nicht,Nein,Ja,Angenehem,Gelegentlich,Ich habe systematisch gesucht,5,8,48,praeattentiv,ohne_netzbrummen,459,1
SHGK-TUPX,B,37,Männlich,Nein,,5,5,3,1,2,Eher anstregend,Gleich schwer,Gar nicht,Gar nicht,Nein,Ja,Angenehem,Gelegentlich,Ich habe systematisch gesucht,5,9,49,praeattentiv,ohne_netzbrummen,406,1
SHGK-TUPX,B,37,Männlich,Nein,,5,5,3,1,2,Eher anstregend,Gleich schwer,Gar nicht,Gar nicht,Nein,Ja,Angenehem,Gelegentlich,Ich habe systematisch gesucht,5,10,50,praeattentiv,ohne_netzbrummen,756,1
SHGK-TUPX,B,37,Männlich,Nein,,5,5,3,1,2,Eher anstregend,Gleich schwer,Gar nicht,Gar nicht,Nein,Ja,Angenehem,Gelegentlich,Ich habe systematisch gesucht,6,1,51,praeattentiv,mit_netzbrummen,764,1
SHGK-TUPX,B,37,Männlich,Nein,,5,5,3,1,2,Eher anstregend,Gleich schwer,Gar nicht,Gar nicht,Nein,Ja,Angenehem,Gelegentlich,Ich habe systematisch gesucht,6,2,52,praeattentiv,mit_netzbrummen,501,1
SHGK-TUPX,B,37,Männlich,Nein,,5,5,3,1,2,Eher anstregend,Gleich schwer,Gar nicht,Gar nicht,Nein,Ja,Angenehem,Gelegentlich,Ich habe systematisch gesucht,6,3,53,praeattentiv,mit_netzbrummen,669,1
SHGK-TUPX,B,37,Männlich,Nein,,5,5,3,1,2,Eher anstregend,Gleich schwer,Gar nicht,Gar nicht,Nein,Ja,Angenehem,Gelegentlich,Ich habe systematisch gesucht,6,4,54,praeattentiv,mit_netzbrummen,490,1
SHGK-TUPX,B,37,Männlich,Nein,,5,5,3,1,2,Eher anstregend,Gleich schwer,Gar nicht,Gar nicht,Nein,Ja,Angenehem,Gelegentlich,Ich habe systematisch gesucht,6,5,55,praeattentiv,mit_netzbrummen,566,1
SHGK-TUPX,B,37,Männlich,Nein,,5,5,3,1,2,Eher anstregend,Gleich schwer,Gar nicht,Gar nicht,Nein,Ja,Angenehem,Gelegentlich,Ich habe systematisch gesucht,6,6,56,praeattentiv,mit_netzbrummen,486,1
SHGK-TUPX,B,37,Männlich,Nein,,5,5,3,1,2,Eher anstregend,Gleich schwer,Gar nicht,Gar nicht,Nein,Ja,Angenehem,Gelegentlich,Ich habe systematisch gesucht,6,7,57,praeattentiv,mit_netzbrummen,526,1
SHGK-TUPX,B,37,Männlich,Nein,,5,5,3,1,2,Eher anstregend,Gleich schwer,Gar nicht,Gar nicht,Nein,Ja,Angenehem,Gelegentlich,Ich habe systematisch gesucht,6,8,58,praeattentiv,mit_netzbrummen,660,1
SHGK-TUPX,B,37,Männlich,Nein,,5,5,3,1,2,Eher anstregend,Gleich schwer,Gar nicht,Gar nicht,Nein,Ja,Angenehem,Gelegentlich,Ich habe systematisch gesucht,6,9,59,praeattentiv,mit_netzbrummen,967,1
SHGK-TUPX,B,37,Männlich,Nein,,5,5,3,1,2,Eher anstregend,Gleich schwer,Gar nicht,Gar nicht,Nein,Ja,Angenehem,Gelegentlich,Ich habe systematisch gesucht,6,10,60,praeattentiv,mit_netzbrummen,725,0
SHGK-TUPX,B,37,Männlich,Nein,,5,5,3,1,2,Eher anstregend,Gleich schwer,Gar nicht,Gar nicht,Nein,Ja,Angenehem,Gelegentlich,Ich habe systematisch gesucht,7,1,61,attentiv,ohne_netzbrummen,1550,1
SHGK-TUPX,B,37,Männlich,Nein,,5,5,3,1,2,Eher anstregend,Gleich schwer,Gar nicht,Gar nicht,Nein,Ja,Angenehem,Gelegentlich,Ich habe systematisch gesucht,7,2,62,attentiv,ohne_netzbrummen,923,1
SHGK-TUPX,B,37,Männlich,Nein,,5,5,3,1,2,Eher anstregend,Gleich schwer,Gar nicht,Gar nicht,Nein,Ja,Angenehem,Gelegentlich,Ich habe systematisch gesucht,7,3,63,attentiv,ohne_netzbrummen,1792,1
SHGK-TUPX,B,37,Männlich,Nein,,5,5,3,1,2,Eher anstregend,Gleich schwer,Gar nicht,Gar nicht,Nein,Ja,Angenehem,Gelegentlich,Ich habe systematisch gesucht,7,4,64,attentiv,ohne_netzbrummen,848,1
SHGK-TUPX,B,37,Männlich,Nein,,5,5,3,1,2,Eher anstregend,Gleich schwer,Gar nicht,Gar nicht,Nein,Ja,Angenehem,Gelegentlich,Ich habe systematisch gesucht,7,5,65,attentiv,ohne_netzbrummen,948,1
